Depth (km), Temperature (K)
1.290150250417362372e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.287479131886477433e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.284808013355592493e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.282136894824707838e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.279465776293823041e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.276794657762938243e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.274123539232053446e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.271452420701168649e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.268781302170283709e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.266110183639398912e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.263439065108514257e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.260767946577629317e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.258096828046744662e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.255425709515859722e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.252754590984974925e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.250083472454090128e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.247412353923205188e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.244741235392320533e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.242070116861435878e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.239398998330550938e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.236727879799666141e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.234056761268781202e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.231385642737896404e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.228714524207011607e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.226043405676126810e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.223372287145242154e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.220701168614357357e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.218030050083472418e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.215358931552587620e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.212687813021702681e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.210016694490818026e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.207345575959933228e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.204674457429048431e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.202003338898163634e+02,1.573249997000000121e+03,1.573250002500000164e+03
1.199332220367278836e+02,1.572699915032729450e+03,1.572668495604515783e+03
1.196661101836393897e+02,1.570499289877221372e+03,1.570342170736152866e+03
1.193989983305509099e+02,1.568298189063433483e+03,1.568015370209510365e+03
1.191318864774624444e+02,1.566096612591364874e+03,1.565688094024586917e+03
1.188647746243739505e+02,1.563894560461015999e+03,1.563360342181383203e+03
1.185976627712854850e+02,1.561692032672386631e+03,1.561032114679899223e+03
1.183305509181969910e+02,1.559489029225476770e+03,1.558703411520134523e+03
1.180634390651085113e+02,1.557285550120286644e+03,1.556374232702089785e+03
1.177963272120200315e+02,1.555081595356816251e+03,1.554044578225764326e+03
1.175292153589315376e+02,1.552877164935065139e+03,1.551714448091158829e+03
1.172621035058430721e+02,1.550672258855033988e+03,1.549383842298272612e+03
1.169949916527545923e+02,1.548466877116722117e+03,1.547052760847106128e+03
1.167278797996661126e+02,1.546261019720129980e+03,1.544721203737659380e+03
1.164607679465776329e+02,1.544054686665257350e+03,1.542389170969931683e+03
1.161936560934891389e+02,1.541847877952104227e+03,1.540056662543923949e+03
1.159265442404006592e+02,1.539640593580670838e+03,1.537723678459635721e+03
1.156594323873121795e+02,1.537432833550957184e+03,1.535390218717067228e+03
1.153923205342236997e+02,1.535224597862962810e+03,1.533056283316218241e+03
1.151252086811352200e+02,1.533015886516688624e+03,1.530721872257089217e+03
1.148580968280467545e+02,1.530806699512133491e+03,1.528386985539679472e+03
1.145909849749582605e+02,1.528597036849298092e+03,1.526051623163989234e+03
1.143238731218697808e+02,1.526386898528182428e+03,1.523715785130018730e+03
1.140567612687813011e+02,1.524176284548786043e+03,1.521379471437767734e+03
1.137896494156928071e+02,1.521965194911109393e+03,1.519042682087236244e+03
1.135225375626043416e+02,1.519753629615152477e+03,1.516705417078424489e+03
1.132554257095158619e+02,1.517541588660915068e+03,1.514367676411332468e+03
1.129883138564273821e+02,1.515329072048397393e+03,1.512029460085959954e+03
1.127212020033389024e+02,1.513116079777598998e+03,1.509690768102306947e+03
1.124540901502504084e+02,1.510902611848520564e+03,1.507351600460373447e+03
1.121869782971619287e+02,1.508688668261161638e+03,1.505011957160159909e+03
1.119198664440734490e+02,1.506474249015521991e+03,1.502671838201665423e+03
1.116527545909849692e+02,1.504259354111602306e+03,1.500331243584891126e+03
1.113856427378965037e+02,1.502043983549402128e+03,1.497990173309836337e+03
1.111185308848080098e+02,1.499828137328921457e+03,1.495648627376500599e+03
1.108514190317195300e+02,1.497611815450160520e+03,1.493306605784885051e+03
1.105843071786310503e+02,1.495395017913118863e+03,1.490964108534988554e+03
1.103171953255425564e+02,1.493177744717796941e+03,1.488621135626812247e+03
1.100500834724540908e+02,1.490959995864194980e+03,1.486277687060355220e+03
1.097829716193656111e+02,1.488741771352312071e+03,1.483933762835617699e+03
1.095158597662771314e+02,1.486523071182149351e+03,1.481589362952600140e+03
1.092487479131886516e+02,1.484303895353705911e+03,1.479244487411301861e+03
1.089816360601001719e+02,1.482084243866981751e+03,1.476899136211723089e+03
1.087145242070116780e+02,1.479864116721977553e+03,1.474553309353864051e+03
1.084474123539231982e+02,1.477643513918693088e+03,1.472207006837724748e+03
1.081803005008347185e+02,1.475422435457128131e+03,1.469860228663304952e+03
1.079131886477462388e+02,1.473200881337282681e+03,1.467512974830604890e+03
1.076460767946577732e+02,1.470978851559156737e+03,1.465165245339624335e+03
1.073789649415692793e+02,1.468756346122750756e+03,1.462817040190363286e+03
1.071118530884807996e+02,1.466533365028063827e+03,1.460468359382821745e+03
1.068447412353923198e+02,1.464309908275096632e+03,1.458119202916999939e+03
1.065776293823038259e+02,1.462085975863849171e+03,1.455769570792897412e+03
1.063105175292153604e+02,1.459861567794321445e+03,1.453419463010515074e+03
1.060434056761268664e+02,1.457636684066513226e+03,1.451068879569852015e+03
1.057762938230384009e+02,1.455411324680424514e+03,1.448717820470908464e+03
1.055091819699499212e+02,1.453185489636055308e+03,1.446366285713684874e+03
